date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:42	125/125	---M--	200	added ('OK')	text/plain	date:Tue,%2024%20Aug%202021%2008:35:07%20GMT	https://zuiying6.webnode.tw/robots.txt		(from )
16:39:43	28368/28368	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Aug%202021%2008:39:33%20GMT	https://zuiying6.webnode.tw/	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/index.html	(from )
16:39:43	13739/13739	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2024%20Aug%202021%2008:39:33%20GMT	https://zuiying6.webnode.tw/%e9%97%9c%e6%96%bc/	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/%e9%97%9c%e6%96%bc/index.html	(from )
16:39:43	11205/11205	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2024%20Aug%202021%2008:39:33%20GMT	https://zuiying6.webnode.tw/%e6%97%85%e8%a1%8c/	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/%e6%97%85%e8%a1%8c/index.html	(from )
16:39:44	11662/11662	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2024%20Aug%202021%2008:39:44%20GMT	https://zuiying6.webnode.tw/%e7%9b%b8%e7%b0%bf/	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/%e7%9b%b8%e7%b0%bf/index.html	(from )
16:39:44	12783/12783	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2024%20Aug%202021%2008:39:44%20GMT	https://zuiying6.webnode.tw/%e8%81%af%e7%b5%a1/	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/%e8%81%af%e7%b5%a1/index.html	(from )
16:39:48	292322/292322	---M-Z	200	added ('OK')	text/css	etag:%22196d0017a46d9db741883884d507dcf4%22	https://d1di2lzuh97fh2.cloudfront.net/files/30/30d/30dohv.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/30/30d/30dohv2467.css	(from https://zuiying6.webnode.tw/)
16:40:16	223701/223701	---M-Z	200	added ('OK')	text/css	etag:%226da4f3aee2b1aa016d1b216a0f9fea21%22	https://d1di2lzuh97fh2.cloudfront.net/files/28/28q/28qgt2.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/28/28q/28qgt22467.css	(from https://zuiying6.webnode.tw/)
16:40:16	7293/7293	---M-Z	200	added ('OK')	text/css	etag:%22d110eb8d84a0b89969d3ad0573c3854e%22	https://d1di2lzuh97fh2.cloudfront.net/files/0o/0oq/0oq7ka.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/0o/0oq/0oq7ka2467.css	(from https://zuiying6.webnode.tw/)
16:40:16	41706/41706	---M-Z	200	added ('OK')	text/css	etag:%22c65f1df3d4dd26008e2848ad4acaabf5%22	https://d1di2lzuh97fh2.cloudfront.net/files/1w/1wx/1wx6r5.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/1w/1wx/1wx6r52467.css	(from https://zuiying6.webnode.tw/)
16:40:17	338258/338258	---M-Z	200	added ('OK')	text/css	etag:%224254d5959af80262188a0e714dd1029b%22	https://d1di2lzuh97fh2.cloudfront.net/files/2z/2za/2zawaj.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/2z/2za/2zawaj2467.css	(from https://zuiying6.webnode.tw/)
16:40:17	230132/230132	---M-Z	200	added ('OK')	text/css	etag:%223d5b072c2b9757df0328e8dcdc90a02b%22	https://d1di2lzuh97fh2.cloudfront.net/files/40/40o/40ocdy.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/40/40o/40ocdy2467.css	(from https://zuiying6.webnode.tw/)
16:40:17	924/924	---M-Z	200	added ('OK')	text/css	etag:%2258212ae28eae0e5a725405ba147f48c7%22	https://d1di2lzuh97fh2.cloudfront.net/files/3q/3qw/3qwf53.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/3q/3qw/3qwf532467.css	(from https://zuiying6.webnode.tw/)
16:40:17	58132/58132	---M-Z	200	added ('OK')	text/css	etag:%228ca542bdef1cae175e92608ddec0ed0a%22	https://d1di2lzuh97fh2.cloudfront.net/files/22/223/2237cm.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/22/223/2237cm2467.css	(from https://zuiying6.webnode.tw/)
16:40:18	9523/9523	---M-Z	200	added ('OK')	text/css	etag:%22f21cd72acced65b47457474976701da3%22	https://d1di2lzuh97fh2.cloudfront.net/files/09/092/092oxa.css?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/09/092/092oxa2467.css	(from https://zuiying6.webnode.tw/)
16:40:18	29280/29280	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Aug%202021%2008:40:18%20GMT	https://use.typekit.net/njp4uhl.css	F:/My_newWeb/zuiying6/use.typekit.net/njp4uhl.css	(from https://zuiying6.webnode.tw/)
16:40:20	49389/49389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Jul%202021%2018:24:06%20GMT	http://www.google-analytics.com/analytics.js	F:/My_newWeb/zuiying6/www.google-analytics.com/analytics.js	(from https://zuiying6.webnode.tw/)
16:40:20	27980/27980	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Aug%202021%2008:40:20%20GMT	https://zuiying6.webnode.tw/wnd_header.set	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/wnd_header.b.delayed	(from https://zuiying6.webnode.tw/)
16:40:21	47544/47544	---M--	200	added ('OK')	image/jpeg	etag:%22612438d0-b9b8%22	https://zuiying6.webnode.tw/_files/200000000-0229402296/450/%e6%9d%b1%e6%96%b9.jpg	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/_files/200000000-0229402296/450/%e6%9d%b1%e6%96%b9.jpg	(from https://zuiying6.webnode.tw/)
16:40:22	28368/28368	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Aug%202021%2008:40:22%20GMT	https://zuiying6.webnode.tw/home/	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/home/index.html	(from https://zuiying6.webnode.tw/)
16:40:22	30390/30390	---M--	200	added ('OK')	image/jpeg	etag:%226124624a-76b6%22	https://zuiying6.webnode.tw/_files/200000043-7fc427fc43/450/Desktop2.jpg	F:/My_newWeb/zuiying6/zuiying6.webnode.tw/_files/200000043-7fc427fc43/450/Desktop2.jpg	(from https://zuiying6.webnode.tw/)
16:40:22	429514/429514	---M-Z	200	added ('OK')	application/javascript	etag:%22b128c7395ee70dc17f789bea82cb6f3b%22	https://d1di2lzuh97fh2.cloudfront.net/files/0m/0ma/0majah.js?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/0m/0ma/0majah2467.js	(from https://zuiying6.webnode.tw/)
16:40:23	1132/1132	---M-Z	200	added ('OK')	application/javascript	etag:%220e3373944624cd583553fd8f6ac39f6d-1%22	https://d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/lang.zh-tw.548.js?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/lang.zh-tw.5482467.js	(from https://zuiying6.webnode.tw/)
16:40:23	177656/177656	---M-Z	200	added ('OK')	application/javascript	etag:%22d0c733012e08df2b9bf3dd89bae56bf8-1%22	https://d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/compiled.multi.2-1041.js?ph=0f96646f24	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/client.fe/js.compiled/compiled.multi.2-10412467.js	(from https://zuiying6.webnode.tw/)
16:40:23	547/547	---M--	200	added ('OK')	image/png	etag:%22e3f799c6dec9af194c86decdf7392405%22	https://d1di2lzuh97fh2.cloudfront.net/files/3y/3yb/3ybh5o.png	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/3y/3yb/3ybh5o.png	(from https://d1di2lzuh97fh2.cloudfront.net/files/30/30d/30dohv.css?ph=0f96646f24)
16:40:23	15367/15367	---M--	200	added ('OK')	image/png	etag:%2249ff514da3cf2421be159294aa935c45%22	https://d1di2lzuh97fh2.cloudfront.net/files/1a/1a7/1a728k.png	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/1a/1a7/1a728k.png	(from https://d1di2lzuh97fh2.cloudfront.net/files/30/30d/30dohv.css?ph=0f96646f24)
16:40:23	866/866	---M--	200	added ('OK')	image/gif	etag:%22e34aafbb485a96eaf2a789b2bf3af6fe%22	https://d1di2lzuh97fh2.cloudfront.net/files/3x/3xw/3xwanv.gif	F:/My_newWeb/zuiying6/d1di2lzuh97fh2.cloudfront.net/files/3x/3xw/3xwanv.gif	(from https://d1di2lzuh97fh2.cloudfront.net/files/30/30d/30dohv.css?ph=0f96646f24)
16:40:25	5/5	---M--	200	added ('OK')	text/css	etag:%225f4eed7f-5%22	https://p.typekit.net/p.css?s=1&k=njp4uhl&ht=tk&f=137.138.139.140.169.170.171.172.173.174.175.176.5474.5475.25136.25137.9674.9675.9676.9677.10294.10295.10296.10297.10298.10299.10300.10301.10302.10303.10304.10305.10312.10314.22489.22490.22491.22492.22493.22494.22495.22496&a=3787040&app=typekit&e=css	F:/My_newWeb/zuiying6/p.typekit.net/p6abb.css	(from https://use.typekit.net/njp4uhl.css)
16:40:25	80200/80200	---M--	200	added ('OK')	application/font-woff2	etag:%22436932e0cfbbcf8d20b894b82e8df64859394233%22	https://use.typekit.net/af/ad9c1c/000000000000000077359549/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n9&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/ad9c1c/000000000000000077359549/30/lff69	(from https://use.typekit.net/njp4uhl.css)
16:40:26	86484/86484	---M--	200	added ('OK')	application/font-woff	etag:%22436932e0cfbbcf8d20b894b82e8df64859394233%22	https://use.typekit.net/af/ad9c1c/000000000000000077359549/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n9&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/ad9c1c/000000000000000077359549/30/dff69	(from https://use.typekit.net/njp4uhl.css)
16:40:27	139324/139324	---M-Z	200	added ('OK')	font/opentype	etag:W/%22436932e0cfbbcf8d20b894b82e8df64859394233%22	https://use.typekit.net/af/ad9c1c/000000000000000077359549/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n9&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/ad9c1c/000000000000000077359549/30/aff69	(from https://use.typekit.net/njp4uhl.css)
16:40:27	82152/82152	---M--	200	added ('OK')	application/font-woff2	etag:%220624fe9ef08b84b883ebb8f945fcf4e67a18a188%22	https://use.typekit.net/af/671919/00000000000000007735954e/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i9&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/671919/00000000000000007735954e/30/l263d	(from https://use.typekit.net/njp4uhl.css)
16:40:27	87892/87892	---M--	200	added ('OK')	application/font-woff	etag:%220624fe9ef08b84b883ebb8f945fcf4e67a18a188%22	https://use.typekit.net/af/671919/00000000000000007735954e/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i9&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/671919/00000000000000007735954e/30/d263d	(from https://use.typekit.net/njp4uhl.css)
16:40:27	141056/141056	---M-Z	200	added ('OK')	font/opentype	etag:W/%220624fe9ef08b84b883ebb8f945fcf4e67a18a188%22	https://use.typekit.net/af/671919/00000000000000007735954e/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i9&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/671919/00000000000000007735954e/30/a263d	(from https://use.typekit.net/njp4uhl.css)
16:40:28	80912/80912	---M--	200	added ('OK')	application/font-woff2	etag:%227421af1d8fe159388f23298404157c5a5e0b2e82%22	https://use.typekit.net/af/98e3f6/000000000000000077359562/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/98e3f6/000000000000000077359562/30/l04c7	(from https://use.typekit.net/njp4uhl.css)
16:40:28	87060/87060	---M--	200	added ('OK')	application/font-woff	etag:%227421af1d8fe159388f23298404157c5a5e0b2e82%22	https://use.typekit.net/af/98e3f6/000000000000000077359562/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/98e3f6/000000000000000077359562/30/d04c7	(from https://use.typekit.net/njp4uhl.css)
16:40:28	140264/140264	---M-Z	200	added ('OK')	font/opentype	etag:W/%227421af1d8fe159388f23298404157c5a5e0b2e82%22	https://use.typekit.net/af/98e3f6/000000000000000077359562/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/98e3f6/000000000000000077359562/30/a04c7	(from https://use.typekit.net/njp4uhl.css)
16:40:28	85140/85140	---M--	200	added ('OK')	application/font-woff2	etag:%22bb47b335cceb9cfa7262af533604ddeb13b684ea%22	https://use.typekit.net/af/624cab/000000000000000077359558/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/624cab/000000000000000077359558/30/l3fe8	(from https://use.typekit.net/njp4uhl.css)
16:40:28	91204/91204	---M--	200	added ('OK')	application/font-woff	etag:%22bb47b335cceb9cfa7262af533604ddeb13b684ea%22	https://use.typekit.net/af/624cab/000000000000000077359558/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/624cab/000000000000000077359558/30/d3fe8	(from https://use.typekit.net/njp4uhl.css)
16:40:29	143672/143672	---M-Z	200	added ('OK')	font/opentype	etag:W/%22bb47b335cceb9cfa7262af533604ddeb13b684ea%22	https://use.typekit.net/af/624cab/000000000000000077359558/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/624cab/000000000000000077359558/30/a3fe8	(from https://use.typekit.net/njp4uhl.css)
16:40:29	81828/81828	---M--	200	added ('OK')	application/font-woff2	etag:%22364204264bea254b8296de20d921a83f3c4833ca%22	https://use.typekit.net/af/199a3f/00000000000000007735955e/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n8&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/199a3f/00000000000000007735955e/30/la39f	(from https://use.typekit.net/njp4uhl.css)
16:40:29	88092/88092	---M--	200	added ('OK')	application/font-woff	etag:%22364204264bea254b8296de20d921a83f3c4833ca%22	https://use.typekit.net/af/199a3f/00000000000000007735955e/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n8&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/199a3f/00000000000000007735955e/30/da39f	(from https://use.typekit.net/njp4uhl.css)
16:40:29	142156/142156	---M-Z	200	added ('OK')	font/opentype	etag:W/%22364204264bea254b8296de20d921a83f3c4833ca%22	https://use.typekit.net/af/199a3f/00000000000000007735955e/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n8&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/199a3f/00000000000000007735955e/30/aa39f	(from https://use.typekit.net/njp4uhl.css)
16:40:30	85108/85108	---M--	200	added ('OK')	application/font-woff2	etag:%22ea8c338db80115f5e5c713e1a3e9ed489f888fcb%22	https://use.typekit.net/af/00841f/000000000000000077359564/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i8&v=3	F:/My_newWeb/zuiying6/use.typekit.net/af/00841f/000000000000000077359564/30/l19d3	(from https://use.typekit.net/njp4uhl.css)
